timestamp,voltage,current,temperature,power
2026-01-18T06:00:00,23.55,0,19.9,0.0
2026-01-18T06:05:00,23.84,0.04,19.2,0.84
2026-01-18T06:10:00,23.57,0.26,20.3,6.06
2026-01-18T06:15:00,23.72,0.26,18.1,6.09
2026-01-18T06:20:00,24.22,0,19.5,0.0
2026-01-18T06:25:00,24.03,0.1,21.5,2.35
2026-01-18T06:30:00,23.7,0,21.9,0.0
2026-01-18T06:35:00,24.34,0,21.1,0.0
2026-01-18T06:40:00,24.14,0.12,19.9,2.89
2026-01-18T06:45:00,24.18,0,21.4,0.0
2026-01-18T06:50:00,24.18,0,20.2,0.0
2026-01-18T06:55:00,23.54,0.1,21.1,2.46
2026-01-18T07:00:00,24.82,2.65,25.4,65.76
2026-01-18T07:05:00,25.05,2.85,26.1,71.41
2026-01-18T07:10:00,24.72,2.54,25.7,62.68
2026-01-18T07:15:00,25.34,2.47,28.4,62.52
2026-01-18T07:20:00,25.39,2.63,25.3,66.67
2026-01-18T07:25:00,24.99,2.57,24.8,64.16
2026-01-18T07:30:00,25.04,2.64,24.8,66.02
2026-01-18T07:35:00,25.04,2.62,28.2,65.6
2026-01-18T07:40:00,24.87,2.61,26.1,64.81
2026-01-18T07:45:00,25.14,2.37,26.4,59.55
2026-01-18T07:50:00,25.28,2.3,28.2,58.23
2026-01-18T07:55:00,25.29,2.3,24.5,58.06
2026-01-18T08:00:00,26.4,4.86,30.7,128.43
2026-01-18T08:05:00,15.0,0,31.8,129.55
2026-01-18T08:10:00,25.72,4.79,33.9,123.31
2026-01-18T08:15:00,25.68,5.23,31.7,134.2
2026-01-18T08:20:00,26.17,4.71,32.6,123.28
2026-01-18T08:25:00,25.85,5.13,33.8,132.7
2026-01-18T08:30:00,26.28,4.75,33.5,124.95
2026-01-18T08:35:00,25.51,5.28,31.7,134.6
2026-01-18T08:40:00,25.67,5.24,31.6,134.44
2026-01-18T08:45:00,26.01,4.81,34.0,125.19
2026-01-18T08:50:00,25.58,5.25,32.1,134.43
2026-01-18T08:55:00,26.2,5.22,33.9,136.72
2026-01-18T09:00:00,26.69,6.89,37.7,183.99
2026-01-18T09:05:00,26.85,6.87,37.5,184.49
2026-01-18T09:10:00,27.28,7.04,35.7,192.08
2026-01-18T09:15:00,27.18,6.97,39.6,189.43
2026-01-18T09:20:00,26.6,7.09,37.5,188.46
2026-01-18T09:25:00,26.44,6.9,37.6,182.48
2026-01-18T09:30:00,27.26,7.33,38.0,199.73
2026-01-18T09:35:00,26.67,7.34,38.9,195.67
2026-01-18T09:40:00,26.64,7.16,37.9,190.74
2026-01-18T09:45:00,27.1,6.92,35.9,187.48
2026-01-18T09:50:00,26.96,6.78,35.9,182.67
2026-01-18T09:55:00,26.74,7.21,38.8,192.83
2026-01-18T10:00:00,27.08,8.55,42.0,231.48
2026-01-18T10:05:00,27.61,8.59,43.3,237.02
2026-01-18T10:10:00,27.37,8.52,42.0,233.28
2026-01-18T10:15:00,27.57,8.59,40.9,236.86
2026-01-18T10:20:00,27.01,8.75,40.3,236.27
2026-01-18T10:25:00,27.75,8.81,42.6,244.43
2026-01-18T10:30:00,27.8,8.74,39.7,242.92
2026-01-18T10:35:00,27.3,8.46,42.7,230.88
2026-01-18T10:40:00,27.46,8.42,40.6,231.29
2026-01-18T10:45:00,27.57,8.44,42.6,232.56
2026-01-18T10:50:00,27.38,8.63,39.8,236.31
2026-01-18T10:55:00,27.5,8.48,43.4,233.29
2026-01-18T11:00:00,28.09,9.41,44.0,264.26
2026-01-18T11:05:00,27.85,9.49,43.0,264.15
2026-01-18T11:10:00,27.52,9.46,45.0,260.22
2026-01-18T11:15:00,27.54,9.68,44.2,266.66
2026-01-18T11:20:00,27.64,9.74,42.4,269.34
2026-01-18T11:25:00,28.0,9.92,45.6,277.9
2026-01-18T11:30:00,27.67,9.51,43.6,263.18
2026-01-18T11:35:00,27.75,9.51,43.9,263.8
2026-01-18T11:40:00,28.01,9.59,43.9,268.53
2026-01-18T11:45:00,27.75,9.38,45.5,260.37
2026-01-18T11:50:00,28.29,9.53,44.8,269.63
2026-01-18T11:55:00,27.89,9.95,44.7,277.62
2026-01-18T12:00:00,27.95,9.92,45.7,277.27
2026-01-18T12:05:00,27.65,10.07,44.8,278.54
2026-01-18T12:10:00,28.38,9.81,44.2,278.51
2026-01-18T12:15:00,27.76,10.22,44.7,283.64
2026-01-18T12:20:00,27.91,9.79,46.5,273.22
2026-01-18T12:25:00,28.23,9.71,47.0,274.02
2026-01-18T12:30:00,28.25,10.22,43.5,288.84
2026-01-18T12:35:00,27.74,9.97,46.1,276.44
2026-01-18T12:40:00,27.67,9.99,45.1,276.34
2026-01-18T12:45:00,27.56,10.03,45.3,276.47
2026-01-18T12:50:00,28.33,9.74,45.7,275.79
2026-01-18T12:55:00,28.34,9.97,43.7,282.67
2026-01-18T13:00:00,27.49,9.55,44.8,262.39
2026-01-18T13:05:00,28.31,9.53,45.9,269.92
2026-01-18T13:10:00,27.68,9.44,44.1,261.3
2026-01-18T13:15:00,27.66,9.76,44.8,270.04
2026-01-18T13:20:00,28.28,9.9,43.2,279.94
2026-01-18T13:25:00,27.85,9.69,-42.5,269.92
2026-01-18T13:30:00,27.71,9.93,42.9,275.14
2026-01-18T13:35:00,27.78,9.59,44.6,266.56
2026-01-18T13:40:00,27.87,9.56,45.6,266.41
2026-01-18T13:45:00,27.72,9.86,44.1,273.3
2026-01-18T13:50:00,27.87,9.95,44.5,277.17
2026-01-18T13:55:00,27.63,9.85,42.8,272.16
2026-01-18T14:00:00,27.75,8.39,41.0,232.68
2026-01-18T14:05:00,27.69,8.39,41.4,232.26
2026-01-18T14:10:00,27.34,8.41,43.4,229.92
